Data,Cliques,Impressões,CTR,Posição
2025-09-21,1,38,2.63%,8.8
2025-09-22,7,165,4.24%,6.8
2025-09-23,6,148,4.05%,6.6
2025-09-24,0,143,0%,7.5
2025-09-25,6,151,3.97%,10.7
2025-09-26,0,109,0%,8
2025-09-27,2,61,3.28%,7.2
2025-09-28,1,64,1.56%,11.9
2025-09-29,3,148,2.03%,8.1
2025-09-30,3,194,1.55%,6
2025-10-01,1,195,0.51%,8.8
2025-10-02,3,173,1.73%,6.5
2025-10-03,1,119,0.84%,7.6
2025-10-04,1,72,1.39%,7.7
2025-10-05,0,53,0%,8.8
2025-10-06,2,142,1.41%,6.7
2025-10-07,4,135,2.96%,7.3
2025-10-08,10,190,5.26%,10.5
2025-10-09,2,134,1.49%,7.9
2025-10-10,6,114,5.26%,7.2
2025-10-11,0,78,0%,6.8
2025-10-12,1,72,1.39%,8.7
2025-10-13,3,148,2.03%,6.4
2025-10-14,1,122,0.82%,6.7
2025-10-15,5,161,3.11%,10.9
2025-10-16,6,154,3.9%,9.5
2025-10-17,7,125,5.6%,7.5
2025-10-18,4,102,3.92%,9
2025-10-19,0,42,0%,9.2
2025-10-20,6,155,3.87%,9
2025-10-21,2,148,1.35%,7.5
2025-10-22,2,151,1.32%,10.8
2025-10-23,3,134,2.24%,7.9
2025-10-24,1,133,0.75%,7.9
2025-10-25,2,82,2.44%,10.5
2025-10-26,0,46,0%,9.5
2025-10-27,3,120,2.5%,7.9
2025-10-28,7,127,5.51%,7.5
2025-10-29,0,157,0%,13.1
2025-10-30,3,133,2.26%,6.8
2025-10-31,1,113,0.88%,11.4
2025-11-01,3,81,3.7%,13
2025-11-02,0,49,0%,9.6
2025-11-03,0,167,0%,7
2025-11-04,4,198,2.02%,6.9
2025-11-05,6,197,3.05%,9.3
2025-11-06,3,136,2.21%,6.3
2025-11-07,1,186,0.54%,8.4
2025-11-08,2,84,2.38%,7.4
2025-11-09,1,65,1.54%,13.8
2025-11-10,3,187,1.6%,7.3
2025-11-11,0,184,0%,7.3
2025-11-12,6,217,2.76%,10.4
2025-11-13,6,168,3.57%,7.1
2025-11-14,4,173,2.31%,7.6
2025-11-15,3,85,3.53%,7.4
2025-11-16,0,121,0%,30
2025-11-17,7,213,3.29%,6.1
2025-11-18,5,178,2.81%,8.1
2025-11-19,5,200,2.5%,12.3
2025-11-20,2,106,1.89%,6.3
2025-11-21,5,215,2.33%,6.8
2025-11-22,1,74,1.35%,7.6
2025-11-23,2,81,2.47%,11.6
2025-11-24,9,273,3.3%,7
2025-11-25,5,196,2.55%,6.8
2025-11-26,5,222,2.25%,10
2025-11-27,5,202,2.48%,8
2025-11-28,3,184,1.63%,8.1
2025-11-29,5,126,3.97%,6.4
2025-11-30,1,63,1.59%,9.8
2025-12-01,4,189,2.12%,6.5
2025-12-02,2,170,1.18%,7.8
2025-12-03,3,223,1.35%,8.7
2025-12-04,4,195,2.05%,7
2025-12-05,7,215,3.26%,10.3
2025-12-06,2,137,1.46%,8.2
2025-12-07,1,66,1.52%,9.2
2025-12-08,1,133,0.75%,7.3
2025-12-09,5,247,2.02%,6.3
2025-12-10,4,236,1.69%,6.1
2025-12-11,2,241,0.83%,8.6
2025-12-12,8,181,4.42%,6.7
2025-12-13,3,102,2.94%,6.7
2025-12-14,4,93,4.3%,7.6
2025-12-15,8,186,4.3%,7.5
2025-12-16,4,161,2.48%,7.6
2025-12-17,2,171,1.17%,8.1
2025-12-18,7,208,3.37%,11.1
2025-12-19,1,158,0.63%,9.3
2025-12-20,2,121,1.65%,10.7
2025-12-21,0,58,0%,6.5
2025-12-22,4,259,1.54%,15.3
2025-12-23,6,160,3.75%,7.6
2025-12-24,4,99,4.04%,10.4
2025-12-25,0,63,0%,19.2
2025-12-26,1,114,0.88%,11.3
2025-12-27,2,84,2.38%,9.6
2025-12-28,2,64,3.12%,12.3
2025-12-29,8,163,4.91%,7.6
2025-12-30,2,117,1.71%,9
2025-12-31,3,84,3.57%,8.9
2026-01-01,1,71,1.41%,15.8
2026-01-02,5,186,2.69%,8.7
2026-01-03,1,92,1.09%,10
2026-01-04,5,97,5.15%,8.7
2026-01-05,2,164,1.22%,7
2026-01-06,8,154,5.19%,11
2026-01-07,1,186,0.54%,7.2
2026-01-08,4,220,1.82%,9.6
2026-01-09,5,207,2.42%,8.7
2026-01-10,4,110,3.64%,7.7
2026-01-11,1,88,1.14%,8.8
2026-01-12,4,203,1.97%,8.1
2026-01-13,1,178,0.56%,8
2026-01-14,2,198,1.01%,7
2026-01-15,3,225,1.33%,11.8
2026-01-16,4,146,2.74%,7.6
2026-01-17,0,120,0%,9.3
2026-01-18,2,152,1.32%,25.6
2026-01-19,10,217,4.61%,8.4
2026-01-20,2,170,1.18%,7.5
2026-01-21,6,177,3.39%,7.9
2026-01-22,2,214,0.93%,9.5
2026-01-23,2,164,1.22%,8.6
2026-01-24,4,114,3.51%,7.6
2026-01-25,0,60,0%,7.7
2026-01-26,4,209,1.91%,8.4
2026-01-27,3,180,1.67%,6.9
2026-01-28,3,171,1.75%,6.7
2026-01-29,4,211,1.9%,9.8
2026-01-30,3,163,1.84%,10.3
2026-01-31,1,74,1.35%,11.2
2026-02-01,1,77,1.3%,9
2026-02-02,5,151,3.31%,11.1
2026-02-03,3,202,1.49%,8.1
2026-02-04,6,172,3.49%,7.4
2026-02-05,6,180,3.33%,10.7
2026-02-06,8,181,4.42%,6.8
2026-02-07,1,90,1.11%,7.5
2026-02-08,0,57,0%,7.4
2026-02-09,9,154,5.84%,7.2
2026-02-10,5,198,2.53%,11.5
2026-02-11,1,161,0.62%,7.8
2026-02-12,6,209,2.87%,10.1
2026-02-13,2,115,1.74%,7.6
2026-02-14,5,107,4.67%,8.6
2026-02-15,0,79,0%,7.5
2026-02-16,3,120,2.5%,7.2
2026-02-17,0,101,0%,21
2026-02-18,6,190,3.16%,6.7
2026-02-19,5,244,2.05%,9.6
2026-02-20,2,237,0.84%,7.8
2026-02-21,3,118,2.54%,9.6
2026-02-22,3,88,3.41%,10
2026-02-23,7,224,3.12%,7.2
2026-02-24,6,225,2.67%,8.6
2026-02-25,6,265,2.26%,8.6
2026-02-26,2,273,0.73%,8.6
2026-02-27,4,268,1.49%,7.9
2026-02-28,5,148,3.38%,7.2
2026-03-01,1,103,0.97%,11.9
2026-03-02,11,234,4.7%,8.6
2026-03-03,3,153,1.96%,8.9
2026-03-04,4,145,2.76%,6.8
2026-03-05,2,118,1.69%,7.2
2026-03-06,3,131,2.29%,7.6
2026-03-07,1,58,1.72%,7.2
2026-03-08,0,42,0%,9.6
2026-03-09,4,107,3.74%,7.2
2026-03-10,5,103,4.85%,6.4
2026-03-11,4,164,2.44%,8.3
2026-03-12,4,137,2.92%,8.5
2026-03-13,6,131,4.58%,7.9
2026-03-14,2,157,1.27%,7.6
2026-03-15,5,191,2.62%,16.1
2026-03-16,9,329,2.74%,6.7
2026-03-17,10,339,2.95%,6.8
2026-03-18,8,292,2.74%,7.4
2026-03-19,1,236,0.42%,7.5
2026-03-20,4,261,1.53%,7.6
2026-03-21,1,138,0.72%,7.7
2026-03-22,2,88,2.27%,10
2026-03-23,7,258,2.71%,7.4
2026-03-24,5,234,2.14%,7.4
2026-03-25,6,239,2.51%,9.1
2026-03-26,4,253,1.58%,8.2
2026-03-27,4,203,1.97%,7.6
2026-03-28,3,105,2.86%,8.4
2026-03-29,3,92,3.26%,8.4
2026-03-30,1,245,0.41%,7.8
2026-03-31,5,241,2.07%,6.9
2026-04-01,3,280,1.07%,8.1
2026-04-02,3,269,1.12%,6.8
2026-04-03,3,81,3.7%,7.5
2026-04-04,2,135,1.48%,9.6
2026-04-05,1,63,1.59%,7.4
2026-04-06,10,231,4.33%,8.3
2026-04-07,3,246,1.22%,7.7
2026-04-08,7,274,2.55%,6.8
2026-04-09,1,238,0.42%,7.4
2026-04-10,5,241,2.07%,8.3
2026-04-11,2,164,1.22%,9.2
2026-04-12,4,97,4.12%,8.2
2026-04-13,4,233,1.72%,8.3
2026-04-14,1,241,0.41%,8.6
2026-04-15,6,213,2.82%,7.7
2026-04-16,7,195,3.59%,6.8
2026-04-17,5,206,2.43%,8.5
2026-04-18,4,141,2.84%,8.2
2026-04-19,3,74,4.05%,9.6
2026-04-20,7,231,3.03%,8.6
2026-04-21,2,95,2.11%,11.8
2026-04-22,5,226,2.21%,7.1
2026-04-23,9,212,4.25%,6.6
2026-04-24,6,213,2.82%,6.4
2026-04-25,4,131,3.05%,6.5
2026-04-26,0,73,0%,11.4
2026-04-27,4,258,1.55%,8.4
2026-04-28,4,234,1.71%,8.3
2026-04-29,6,254,2.36%,6.6
2026-04-30,7,201,3.48%,7.7
2026-05-01,5,178,2.81%,13.6
2026-05-02,2,159,1.26%,7.7
2026-05-03,2,73,2.74%,9.4
2026-05-04,6,258,2.33%,8.1
2026-05-05,6,291,2.06%,7.5
2026-05-06,6,272,2.21%,7.3
2026-05-07,4,279,1.43%,6.8
2026-05-08,7,262,2.67%,8.1
2026-05-09,2,197,1.02%,7.5
2026-05-10,3,79,3.8%,8.8
2026-05-11,5,276,1.81%,8
2026-05-12,9,328,2.74%,7.6
2026-05-13,8,281,2.85%,6.2
2026-05-14,6,280,2.14%,6.8
2026-05-15,7,262,2.67%,6.4
2026-05-16,5,152,3.29%,9.4
2026-05-17,2,163,1.23%,18
2026-05-18,4,246,1.63%,7.2
2026-05-19,4,291,1.37%,7.6
2026-05-20,14,262,5.34%,8.3
2026-05-21,5,206,2.43%,7.9
2026-05-22,6,242,2.48%,6.5
2026-05-23,1,150,0.67%,9.2
2026-05-24,2,92,2.17%,8.9
2026-05-25,8,265,3.02%,7.5
2026-05-26,4,254,1.57%,7.6
2026-05-27,9,290,3.1%,7.1
2026-05-28,8,265,3.02%,6.5
2026-05-29,5,264,1.89%,7
2026-05-30,2,179,1.12%,8.3
2026-05-31,1,93,1.08%,10.5
2026-06-01,9,257,3.5%,8
2026-06-02,8,294,2.72%,7.2
2026-06-03,9,264,3.41%,8.1
2026-06-04,4,109,3.67%,8.4
2026-06-05,2,214,0.93%,7.8
2026-06-06,7,136,5.15%,9.3
2026-06-07,1,86,1.16%,8.1
2026-06-08,5,278,1.8%,6.9
2026-06-09,7,250,2.8%,8.2
2026-06-10,4,279,1.43%,7.5
2026-06-11,9,319,2.82%,7.8
2026-06-12,7,281,2.49%,7.1
2026-06-13,7,161,4.35%,8.5
2026-06-14,1,103,0.97%,9.9
2026-06-15,5,327,1.53%,7.6
2026-06-16,5,250,2%,7.7
2026-06-17,15,399,3.76%,11.1
2026-06-18,8,244,3.28%,7.5
2026-06-19,6,253,2.37%,6.4
2026-06-20,4,185,2.16%,8.2
2026-06-21,0,114,0%,9.3
2026-06-22,4,256,1.56%,7.7
2026-06-23,11,408,2.7%,6.9
2026-06-24,2,239,0.84%,7.9
2026-06-25,7,246,2.85%,6.9
2026-06-26,7,207,3.38%,7.3
2026-06-27,3,172,1.74%,9.6
2026-06-28,0,89,0%,10
2026-06-29,7,203,3.45%,6.1
2026-06-30,6,310,1.94%,7.1
2026-07-01,8,290,2.76%,9
2026-07-02,7,225,3.11%,7.5
2026-07-03,9,275,3.27%,7.3
2026-07-04,7,196,3.57%,7.8
2026-07-05,4,83,4.82%,9
2026-07-06,2,250,0.8%,7.6
2026-07-07,9,289,3.11%,7
2026-07-08,6,270,2.22%,6.7
2026-07-09,7,284,2.46%,7.1
2026-07-10,6,248,2.42%,7.7
2026-07-11,3,168,1.79%,9.2
2026-07-12,0,82,0%,10
2026-07-13,5,234,2.14%,6.9
